220413-09:45:32 [INFO] -- 
220413-09:45:32 [INFO] -- 
220413-09:45:32 [INFO] -- ============================================================
220413-09:45:32 [INFO] -- SLCStarter: Application Starting...
220413-09:45:34 [INFO] -- timer: starting...
220413-09:45:34 [INFO] -- OctopusCardReaderDriver: starting...
220413-09:45:34 [INFO] -- SLSvrHandler: starting...
220413-09:45:34 [INFO] -- BarcodeReaderDriver: starting...
220413-09:45:34 [INFO] -- TouchDisplayHandler: starting...
220413-09:45:34 [INFO] -- LockerDriver: starting...
220413-09:45:34 [INFO] -- TouchDisplayHandler: loading fxml: TouchDisplayEmulator.fxml
220413-09:45:34 [INFO] -- SLC: starting...
220413-09:45:35 [INFO] -- SLSvrHandler: loading fxml: SLSvrEmulator.fxml
220413-09:45:40 [INFO] -- Poll: TimesUp 92812 0
220413-09:45:40 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:45:40 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:45:40 [INFO] -- PollAck: LockerDriver is up!
220413-09:45:40 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:45:40 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:45:46 [INFO] -- Poll: TimesUp 22034 0
220413-09:45:46 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:45:46 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:45:46 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:45:46 [INFO] -- PollAck: LockerDriver is up!
220413-09:45:46 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:45:52 [INFO] -- Poll: TimesUp 25549 0
220413-09:45:52 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:45:52 [INFO] -- PollAck: LockerDriver is up!
220413-09:45:52 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:45:52 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:45:52 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:45:58 [INFO] -- Poll: TimesUp 77768 0
220413-09:45:58 [INFO] -- PollAck: LockerDriver is up!
220413-09:45:58 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:45:58 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:45:58 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:45:58 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:46:04 [INFO] -- Poll: TimesUp 34811 0
220413-09:46:04 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:46:04 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:46:04 [INFO] -- PollAck: LockerDriver is up!
220413-09:46:04 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:46:04 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:46:10 [INFO] -- Poll: TimesUp 54376 0
220413-09:46:10 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:46:10 [INFO] -- PollAck: LockerDriver is up!
220413-09:46:10 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:46:10 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:46:10 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:46:16 [INFO] -- Poll: TimesUp 64210 0
220413-09:46:16 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:46:16 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:46:16 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:46:16 [INFO] -- PollAck: LockerDriver is up!
220413-09:46:16 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:46:22 [INFO] -- Poll: TimesUp 93749 0
220413-09:46:22 [INFO] -- PollAck: BarcodeReaderDriver is up!
220413-09:46:22 [INFO] -- PollAck: TouchDisplayHandler is up!
220413-09:46:22 [INFO] -- PollAck: SLSvrHandler is up!
220413-09:46:22 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220413-09:46:22 [INFO] -- PollAck: LockerDriver is up!
